Item_Description,Item_URL,Number_Sold,Rating,Price
【Japan limited】【Made in Japan】 Nestle Japan Kitkat Mini Sakuramochi flavor Japan Food Sweets Chocolate Cherry Blossoms Sakura 【Direct from Japan】,/【Japan-limited】【Made-in-Japan】-Nestle-Japan-Kitkat-Mini-Sakuramochi-flavor-Japan-Food-Sweets-Chocolate-Cherry-Blossoms-Sakura-【Direct-from-Japan】-i.219170680.7919135878,48 sold,48 sold,$9.62
EGO Swiss Roll - Chocolate Flavour,/EGO-Swiss-Roll-Chocolate-Flavour-i.195358651.4513193078,65 sold,65 sold,$3.20
Nestle Milo UHT Chocolate Malt Packet Drink (24 packs x 200ml),/Nestle-Milo-UHT-Chocolate-Malt-Packet-Drink-(24-packs-x-200ml)-i.271116329.7336812450,,,$19.50
Shiroi Koibito dark and/or white chocolate variations,/Shiroi-Koibito-dark-and-or-white-chocolate-variations-i.135413827.2361208260,100 sold,100 sold,$27.90 - $85.90
[GoCheep] (11gx11Packs) Apollo Chocolate Wafer Stick Biscuit Snacks Chips Snacks Tidbits Crackers Sweet Snack RedTag,/-GoCheep-(11gx11Packs)-Apollo-Chocolate-Wafer-Stick-Biscuit-Snacks-Chips-Snacks-Tidbits-Crackers-Sweet-Snack-RedTag-i.229054296.7527749507,263 sold,263 sold,$2.99
Mr.Ito LANGULY langue de chat 2020 spring limited flavor Macha (Vanilla/Chocolate) 12pcs イトウ製菓 ラングリー 抹茶･チョコレート･バニラ 12枚,/Mr.Ito-LANGULY-langue-de-chat-2020-spring-limited-flavor-Macha-(Vanilla-Chocolate)-12pcs-イトウ製菓-ラングリー-抹茶･チョコレート･バニラ-12枚-i.135413827.2473270012,5 sold,5 sold,$8.20
[GoCheep] (18gx11Packs) Apollo Chocolate Layer Cake Biscuit Snacks Chips Snacks Tidbits Crackers Sweets Snack RedTag,/-GoCheep-(18gx11Packs)-Apollo-Chocolate-Layer-Cake-Biscuit-Snacks-Chips-Snacks-Tidbits-Crackers-Sweets-Snack-RedTag-i.229054296.3819184684,140 sold,140 sold,$2.99
Hello Panda chocolate Biscuit Packet (12 x 35g),/Hello-Panda-chocolate-Biscuit-Packet-(12-x-35g)-i.154589565.2510963855,22 sold,22 sold,$9.90
Loacker Chocolate Biscuit 125g,/Loacker-Chocolate-Biscuit-125g-i.16399179.2599406586,26 sold,26 sold,$3.80
Loacker Dark Chocolate Biscuit 125g,/Loacker-Dark-Chocolate-Biscuit-125g-i.16399179.2599409384,35 sold,35 sold,$3.80
Pepperidge Farm Nantucket Dark Chocolate,/Pepperidge-Farm-Nantucket-Dark-Chocolate-i.90158394.1490860565,18 sold,18 sold,$6.70
Daelmans Chocolate Stroopwafels Cube 320g Bundle Deals (Imported from Netherlands),/Daelmans-Chocolate-Stroopwafels-Cube-320g-Bundle-Deals-(Imported-from-Netherlands)-i.7876349.4214522515,17 sold,17 sold,$16.00 - $36.00
【Made in Japan】 Tohato Pokemon Snack Chocolate Flavor Japan Food Sweets Biscuits Snacks【Direct from Japan】,/【Made-in-Japan】-Tohato-Pokemon-Snack-Chocolate-Flavor-Japan-Food-Sweets-Biscuits-Snacks【Direct-from-Japan】-i.219170680.7636069037,,,$5.37
【Made in Japan】 Kabaya small melon bread cookies melon bread & chocolate chip melon bread Japan food Sweets Biscuits【Direct from Japan】,/【Made-in-Japan】-Kabaya-small-melon-bread-cookies-melon-bread-chocolate-chip-melon-bread-Japan-food-Sweets-Biscuits【Direct-from-Japan】-i.219170680.6420236794,5 sold,5 sold,$10.88
【Made in Japan】 Morinaga Pakuncho Japan food Sweets Biscuits Chocolate【Direct from Japan】,/【Made-in-Japan】-Morinaga-Pakuncho-Japan-food-Sweets-Biscuits-Chocolate【Direct-from-Japan】-i.219170680.6219259913,2 sold,2 sold,$5.13
【Made in Japan】 Morinaga Chocolate chip Cookies Japan food Sweets Biscuits【Direct from Japan】,/【Made-in-Japan】-Morinaga-Chocolate-chip-Cookies-Japan-food-Sweets-Biscuits【Direct-from-Japan】-i.219170680.5720837970,17 sold,17 sold,$7.65
【Japan limited】【Made in Japan】 Glico Coconut Pocky Japan food Sweets Biscuits Chocolate【Direct from Japan】,/【Japan-limited】【Made-in-Japan】-Glico-Coconut-Pocky-Japan-food-Sweets-Biscuits-Chocolate【Direct-from-Japan】-i.219170680.4735393316,2 sold,2 sold,$6.65
(50gx2packs) Yan Yan Chocolate Biscuit Snacks Chips Snacks Tidbits Crackers Sweets Snack Candy Nut Nuts RedTag,/(50gx2packs)-Yan-Yan-Chocolate-Biscuit-Snacks-Chips-Snacks-Tidbits-Crackers-Sweets-Snack-Candy-Nut-Nuts-RedTag-i.229054296.3734163608,25 sold,25 sold,$2.99
[Local Seller] - Creamy Chocolate Biscuit,/-Local-Seller-Creamy-Chocolate-Biscuit-i.265774056.7535448497,1 sold,1 sold,$1.60 - $6.30
【Made in Japan】 Lotte Koala March Strawberry Flavor Japan Food Sweets Biscuits Chocolate【Direct from Japan】,/【Made-in-Japan】-Lotte-Koala-March-Strawberry-Flavor-Japan-Food-Sweets-Biscuits-Chocolate【Direct-from-Japan】-i.219170680.4637548461,,,$5.13
【Made in Japan】 Tohato Chocobi Chocolate Flavor Japan Food Sweets Biscuits Snacks【Direct from Japan】,/【Made-in-Japan】-Tohato-Chocobi-Chocolate-Flavor-Japan-Food-Sweets-Biscuits-Snacks【Direct-from-Japan】-i.219170680.6936069501,,,$5.31
"【Japan limited】【Made in Japan】【New product released on June 1, 2020】Nestle Japan Kitkat Mini New Item [Citrus Mint][Salt Lychee][Salt Lemon] Japan Food Sweets Biscuits【Direct from Japan】",/【Japan-limited】【Made-in-Japan】【New-product-released-on-June-1-2020】Nestle-Japan-Kitkat-Mini-New-Item-Citrus-Mint-Salt-Lychee-Salt-Lemon-Japan-Food-Sweets-Biscuits【Direct-from-Japan】-i.219170680.4536365269,3 sold,3 sold,$8.04 - $9.65
【Made in Japan】 Meito Lucky Lucky Red snapper Chocolate Japan food Sweets Biscuits【Direct from Japan】,/【Made-in-Japan】-Meito-Lucky-Lucky-Red-snapper-Chocolate-Japan-food-Sweets-Biscuits【Direct-from-Japan】-i.219170680.7519260531,,,$4.48
Chocolates Colorful Theme Party Biscuit Santa Christmas Decorative Exquisite Festival Portable Candy Jar,/Chocolates-Colorful-Theme-Party-Biscuit-Santa-Christmas-Decorative-Exquisite-Festival-Portable-Candy-Jar-i.50203676.7700542640,4 sold,4 sold,$2.24
Loacker Mini Dark Chocolate Wafers (125g x 12 Packs x 1 Box),/Loacker-Mini-Dark-Chocolate-Wafers-(125g-x-12-Packs-x-1-Box)-i.79484032.7326870277,1 sold,1 sold,$38.99
HERSHEY'S Chocolate Waffle Snack 146g,/HERSHEY'S-Chocolate-Waffle-Snack-146g-i.13844511.5317391071,6 sold,6 sold,$13.90
Ori Chocolate Mlk Sandwich 630g,/Ori-Chocolate-Mlk-Sandwich-630g-i.88209860.7126866897,1 sold,1 sold,$6.00
[SUPER DEAL] Desobry Winter Collection Belgian Chocolate Biscuits 420g,/-SUPER-DEAL-Desobry-Winter-Collection-Belgian-Chocolate-Biscuits-420g-i.7876349.4014518121,2 sold,2 sold,$9.90
Nature Valley Oats and Dark Chocolate Granola Bars (6x42g) (12x42g),/Nature-Valley-Oats-and-Dark-Chocolate-Granola-Bars-(6x42g)-(12x42g)-i.154589565.7636314218,,,$7.90 - $15.90
【Made in Japan】 Lotte Black Koala March Cocoa & Milk Japan food Sweets Biscuits Chocolate【Direct from Japan】,/【Made-in-Japan】-Lotte-Black-Koala-March-Cocoa-Milk-Japan-food-Sweets-Biscuits-Chocolate【Direct-from-Japan】-i.219170680.6219259937,6 sold,6 sold,$5.13
【Made in Japan】 Morinaga Pakuncho Japan food Sweets Biscuits Chocolate【Direct from Japan】,/【Made-in-Japan】-Morinaga-Pakuncho-Japan-food-Sweets-Biscuits-Chocolate【Direct-from-Japan】-i.219170680.6219259913,2 sold,2 sold,$5.13
30 packs Apollo Wafer Sticks - Chocolate / Strawberry,/30-packs-Apollo-Wafer-Sticks-Chocolate-Strawberry-i.238696081.3336062733,7 sold,7 sold,$4.80
[Local Seller] - Premium Chocolate Waffle,/-Local-Seller-Premium-Chocolate-Waffle-i.265774056.4836778804,2 sold,2 sold,$2.80 - $9.30
【Made in Japan】 Lotte Chocolate Pie Traveling the World Tokyo Caramel Chocolate Japan Food Sweets Biscuits Chocolate【Direct from Japan】,/【Made-in-Japan】-Lotte-Chocolate-Pie-Traveling-the-World-Tokyo-Caramel-Chocolate-Japan-Food-Sweets-Biscuits-Chocolate【Direct-from-Japan】-i.219170680.3637300634,,,$10.35
[Nostalgia Snacks] Chocolate love letter 1 pkt (160-200 gram),/-Nostalgia-Snacks-Chocolate-love-letter-1-pkt-(160-200-gram)-i.234860658.5231523429,2 sold,2 sold,$3.00
EGO Wafer Crunch - Chocolate Cream Filling,/EGO-Wafer-Crunch-Chocolate-Cream-Filling-i.195358651.4413193021,9 sold,9 sold,$2.65
Loacker Quadratini Chocolate Wafer Biscuits (250g x 6 Packs),/Loacker-Quadratini-Chocolate-Wafer-Biscuits-(250g-x-6-Packs)-i.79484032.3233696266,1 sold,1 sold,$32.99
Loacker Mini Dark Chocolate Wafers (125g x 12 Packs x 1 Box),/Loacker-Mini-Dark-Chocolate-Wafers-(125g-x-12-Packs-x-1-Box)-i.79484032.7326870277,1 sold,1 sold,$38.99
Ori Chocolate Mlk Sandwich 630g,/Ori-Chocolate-Mlk-Sandwich-630g-i.88209860.7126866897,1 sold,1 sold,$6.00
Pepperidge Farm Sausalito Milk Chocolate Macadamia,/Pepperidge-Farm-Sausalito-Milk-Chocolate-Macadamia-i.90158394.1490860562,23 sold,23 sold,$6.70
607PS Mini Waffer Roll With Chocolate Filling 40g,/607PS-Mini-Waffer-Roll-With-Chocolate-Filling-40g-i.56291223.3236642863,,,$2.90
【Made in Japan】 Tohato Pokemon Snack Chocolate Flavor Japan Food Sweets Biscuits Snacks【Direct from Japan】,/【Made-in-Japan】-Tohato-Pokemon-Snack-Chocolate-Flavor-Japan-Food-Sweets-Biscuits-Snacks【Direct-from-Japan】-i.219170680.7636069037,,,$5.37
[Local Seller] - Creamy Chocolate Biscuit,/-Local-Seller-Creamy-Chocolate-Biscuit-i.265774056.7535448497,1 sold,1 sold,$1.60 - $6.30
【Made in Japan】 Meito Lucky Lucky Red snapper Chocolate Japan food Sweets Biscuits【Direct from Japan】,/【Made-in-Japan】-Meito-Lucky-Lucky-Red-snapper-Chocolate-Japan-food-Sweets-Biscuits【Direct-from-Japan】-i.219170680.7519260531,,,$4.48
(14g x 40 Packs) Chocolate Teddy Biscuit Snacks Chips Tidbits Crackers,/(14g-x-40-Packs)-Chocolate-Teddy-Biscuit-Snacks-Chips-Tidbits-Crackers-i.261262863.7535083183,,,$13.90
Ori Morning Chocolate Biscuits 440g,/Ori-Morning-Chocolate-Biscuits-440g-i.88209860.7034057987,,,$6.50
(35g x 24 Packs) Chocolate Hello Panda Snacks Crackers Biscuit Chips,/(35g-x-24-Packs)-Chocolate-Hello-Panda-Snacks-Crackers-Biscuit-Chips-i.261262863.7234634252,,,$16.90
[FSC] Glico Pocky Cream Chocolate Coated Biscuit Stick 40gmx10s,/-FSC-Glico-Pocky-Cream-Chocolate-Coated-Biscuit-Stick-40gmx10s-i.199338184.6807536840,,,$14.92
【Made in Japan】 Tohato Chocobi Chocolate Flavor Japan Food Sweets Biscuits Snacks【Direct from Japan】,/【Made-in-Japan】-Tohato-Chocobi-Chocolate-Flavor-Japan-Food-Sweets-Biscuits-Snacks【Direct-from-Japan】-i.219170680.6936069501,,,$5.31
Meiji Yan Yan Creamy Chocolate Dip Biscuits (10 x 50g),/Meiji-Yan-Yan-Creamy-Chocolate-Dip-Biscuits-(10-x-50g)-i.271116329.6936832443,,,$11.50
【Made in Japan】Otsuka Calorie Mate Block Chocolate Flavor Japan food Sweets Balanced Balance Biscuits Cookie Cookies【Direct from Japan】,/【Made-in-Japan】Otsuka-Calorie-Mate-Block-Chocolate-Flavor-Japan-food-Sweets-Balanced-Balance-Biscuits-Cookie-Cookies【Direct-from-Japan】-i.219170680.6333322488,,,$6.65
(47g x 10 Packs) Pocky Chocolate Biscuit Snacks Chips Snacks Tidbits Crackers,/(47g-x-10-Packs)-Pocky-Chocolate-Biscuit-Snacks-Chips-Snacks-Tidbits-Crackers-i.261262863.6535974619,,,$14.90
Tiger Chocolate Favours biscuit 180g,/Tiger-Chocolate-Favours-biscuit-180g-i.88209860.6426839739,,,$5.50
EXPEN Biscuit Chocolate Mould Candy bakeware muffin pan,/EXPEN-Biscuit-Chocolate-Mould-Candy-bakeware-muffin-pan-i.54593721.6033992044,,,$12.70
[BG] Baking Silicone Heart Shape Chocolate Candy Biscuit Cake,/-BG-Baking-Silicone-Heart-Shape-Chocolate-Candy-Biscuit-Cake-i.58548192.6031945508,,,$1.45
Hello Panda Chocolate Biscuit Packet (12 x 35g),/Hello-Panda-Chocolate-Biscuit-Packet-(12-x-35g)-i.271116329.5736829960,,,$9.00
Hello Panda Cocoa Double Chocolate Biscuits (260g x 5 Boxes),/Hello-Panda-Cocoa-Double-Chocolate-Biscuits-(260g-x-5-Boxes)-i.79484032.5635076713,,,$26.99
Glico Pocky Double Chocolate Biscuit Sticks (45g x 20 Packs),/Glico-Pocky-Double-Chocolate-Biscuit-Sticks-(45g-x-20-Packs)-i.79484032.4629417913,,,$23.99
Meiji Hello Panda Biscuits (Chocolate / Strawberry) 35g,/Meiji-Hello-Panda-Biscuits-(Chocolate-Strawberry)-35g-i.253528357.4232099854,,,$9.90 - $17.90
